Gene	Priority
ENSG00000089022	5
ENSG00000134247	5
ENSG00000061676	5
ENSG00000152266	5
ENSG00000130202	5
ENSG00000105647	5
ENSG00000145675	5
ENSG00000164010	5
ENSG00000096717	5
ENSG00000139567	5
ENSG00000158711	5
ENSG00000141469	5
ENSG00000092009	5
SART3	5
ENSG00000171611	5
ENSG00000133111	5
ENSG00000149100	5
ENSG00000101076	5
TNFAIP2	5
ENSG00000204427	5
ENSG00000204438	5
ENSG00000204463	5
ENSG00000198563	5
ENSG00000204472	5
ENSG00000241399	5
ENSG00000109339	5
ENSG00000188130	5
MUC5B	5
ENSG00000135605	5
ENSG00000101082	5
ENSG00000142867	5
ENSG00000104320	5
ENSG00000090470	5
ENSG00000150593	5
ENSG00000152804	5
ENSG00000075213	5
ENSG00000089505	5
ENSG00000129636	5
ENSG00000214042	5
ENSG00000120235	5
ENSG00000147873	5
ENSG00000174697	5
ENSG00000163106	5
ENSG00000110987	5
ENSG00000159377	5
ENSG00000008018	5
ENSG00000115170	5
ENSG00000127152	5
ENSG00000204388	5
ENSG00000204389	5
ENSG00000104312	5
ENSG00000196136	5
ENSG00000137875	5
ENSG00000090534	5
ENSG00000077044	5
ENSG00000064490	5
ENSG00000145431	5
PTGIR	5
ENSG00000101294	5
ENSG00000140519	5
ENSG00000119950	5
ENSG00000116977	5
